"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"florida",1911,"2021",110,1183,722,422,37,0.627,47,24,23,0,0.511,8.97,4.28,34,9,""
"florida-am",2004,"2004",1,11,3,8,0,0.273,0,0,0,0,0,-21.65,-12.38,0,0,""
"florida-atlantic",2004,"2021",19,216,96,122,0,0.44,5,4,1,0,0.8,-7.76,-4.99,0,3,""
"florida-international",2004,"2021",19,211,73,138,0,0.346,5,2,3,0,0.4,-12.11,-6.41,0,1,""
"florida-state",1954,"2021",69,807,533,256,16,0.672,47,28,17,2,0.617,10.73,3.9,33,15,"record adjusted to 522-255-16 by NCAA"
"fordham",1909,"1954",25,213,126,70,17,0.631,2,1,1,0,0.5,3.6,-1.08,6,0,""
"fort-benning",1922,"1922",1,10,5,5,0,0.5,0,0,0,0,0,-6.13,-4.03,0,0,""
"fort-riley",1943,"1943",1,9,6,2,1,0.722,0,0,0,0,0,10.37,1.81,0,0,""
"fort-warren",1944,"1944",1,10,5,4,1,0.55,0,0,0,0,0,-4.13,-3.83,0,0,""
"franklin-marshall",1889,"1904",7,62,24,31,7,0.444,0,0,0,0,0,-6.27,-3.24,0,0,""
"fresno-state",1969,"2021",54,643,367,265,4,0.58,24,12,12,0,0.5,-1.83,-5.35,3,12,"record adjusted to 369-263-4 by NCAA"
"furman",1902,"1981",61,605,297,280,28,0.514,0,0,0,0,0,-6.16,-6.16,0,3,""
"george-washington",1908,"1966",33,299,138,147,14,0.485,1,1,0,0,1,-4.59,-4.24,1,0,""
"georgetown",1902,"1950",36,313,184,110,19,0.618,2,0,2,0,0,2.82,-2.36,1,0,""
"georgia",1902,"2021",119,1283,827,405,50,0.665,59,35,21,3,0.619,10.43,4.84,40,13,""
"georgia-pre-flight",1942,"1943",2,15,12,2,1,0.833,0,0,0,0,0,11.14,2.27,0,0,""
"georgia-southern",2014,"2021",9,100,53,47,0,0.53,4,3,1,0,0.75,-3.02,-4.6,0,1,""
"georgia-state",2013,"2021",10,109,40,69,0,0.367,5,3,2,0,0.6,-9.97,-4.66,0,0,""
"georgia-tech",1902,"2021",121,1288,738,506,40,0.59,45,25,20,0,0.556,8.41,4.56,24,8,"record adjusted to 737-506-40 by NCAA"
"gonzaga",1922,"1941",16,141,67,63,11,0.514,1,0,1,0,0,-2.55,-4.15,0,0,""
"grambling-state",1977,"1977",1,11,10,1,0,0.909,0,0,0,0,0,6.73,-10,0,1,""
"great-lakes-navy",1918,"1945",5,55,39,11,5,0.755,1,1,0,0,1,16.37,6.95,2,0,""
"grinnell",1899,"1936",26,218,90,110,18,0.454,0,0,0,0,0,-6.86,-4.63,0,0,""
"hamilton",1907,"1907",1,5,1,4,0,0.2,0,0,0,0,0,-10.59,3.81,0,0,""
"hampden-sydney",1922,"1940",5,44,14,29,1,0.33,0,0,0,0,0,-12.35,-6.01,0,0,""
"hardin-simmons",1939,"1962",21,218,113,96,9,0.539,6,4,2,0,0.667,-5.41,-6.96,1,3,""
"harvard",1875,"1981",103,932,631,259,42,0.7,1,1,0,0,1,4.22,-2.09,0,5,""
"haskell",1902,"1916",12,110,57,49,4,0.536,0,0,0,0,0,-1.71,-2.12,0,0,""
"haverford",1891,"1891",1,6,0,6,0,0,0,0,0,0,0,-23.89,-1.73,0,0,""
"hawaii",1971,"2021",50,600,303,291,6,0.51,14,8,6,0,0.571,-3.55,-3.29,2,4,""
"holy-cross",1899,"1981",53,524,264,233,27,0.53,1,0,1,0,0,-2.94,-4.32,5,0,""
"houston",1949,"2021",74,825,448,361,15,0.553,29,12,16,1,0.431,3.16,1.09,15,11,"record adjusted to 448-361-14 by NCAA"
"idaho",1917,"2017",75,739,261,461,16,0.364,3,3,0,0,1,-8.52,-3.61,0,1,""
"idaho-state",1944,"1944",1,9,4,5,0,0.444,0,0,0,0,0,-11.65,-7.09,0,0,""
"illinois",1892,"2021",131,1274,609,612,49,0.499,19,8,11,0,0.421,5.92,5.25,13,15,""
